x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x
x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,x
x,,,,x,x,,,,,,x,x,,,,,,,,,,,x,x,,,,,,,x,x,x,x,x,,,,,,,,x,x,x,x,x,x,,,,,,x,x,,,,x
x,,,,x,,,,,,,x,,x,,,,,,,,,x,,,x,,,,,x,,,,,,x,,,,,x,,,,,,,,x,,,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,,,,,,,,x,,,x,,,,x,,,,x,,,,x,,,x,,,,,,,,,x,,,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,,,,,,,,,x,x,,,,,x,,,x,,x,,,x,,,x,,,,x,x,x,x,x,,,,i,,,x,,,,x
x,,,,x,,,,,x,x,,,,,x,x,,,,,,,,,,,,,x,,,x,,x,,,x,,,x,,,x,,,,,,,,,,,,x,,,,x
x,,,,x,,,,x,,,,,,,,,x,,,,,,x,x,,,,,x,,,,x,,,,x,,,x,,,,x,x,x,x,,,,,,,,x,,,,x
x,,,,x,,,x,x,x,x,x,,,x,x,x,x,x,,,,x,,,x,,,,x,,,,,,,x,,,,x,,,,,,,x,x,,,,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,,,,,,,x,,,,,x,,,x,,,,x,x,x,,,,,,x,,,,,,,,x,,,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,,,,,,,x,,,,,x,,,x,,,x,,,,,,,,,,x,x,x,x,,,,,x,,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,,,,,,,x,,,,,x,,,x,,,x,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,,,,,,,x,,,,,x,,,x,,,x,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,,,,,,,x,,,,,x,,,x,,,x,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,x
x,,,,x,,,,,,,x,,,x,x,x,,,,,x,,,,,x,,,x,,,x,,,,,,,,,x,x,x,x,x,x,,,,,x,,,,x,,,,x
x,,,,x,x,,,,,,x,,,,,x,,,,,x,,,,,x,,,x,,,x,,,,,,,,x,,,,,,,,,,x,,,,x,x,,,,x
x,,,,,x,x,,,,,x,,,,,x,,,,,,x,,,x,,,,x,,,x,,,,,,,,x,,,,,,,,x,x,,,,x,x,,,,,x
x,,,,,,x,x,x,x,,,x,x,x,x,,,,,,,,x,x,,,,,,x,x,,,,,,,,,,x,x,x,x,x,x,x,x,,,x,x,x,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
